video_id,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
video165,0.7502312431596729,0.9085475973886986,0.7486311546840959,0.0,0.35151779651641846,49.52212452244114
video166,0.8760831646621228,0.949395751953125,0.7596105490196079,0.0,0.3852301836013794,51.43992854930736
video167,0.8880081966519355,0.9162109375,0.7688446928104575,0.0,0.4141085743904114,52.6808645931291
video168,0.0,0.0,0.0,0.0,0.0,0.0
video169,0.7433489590883255,0.8610198974609375,0.7374190588235293,0.0,0.26571035385131836,46.1392507435363
video17,0.6107893881924225,0.8458880800189394,0.6705596197266784,0.0,0.2575490474700928,45.857832951332206
video170,0.8602254021912813,0.918658447265625,0.7678552399718057,1.0,0.37249863147735596,54.991856139383195
video171,0.6017003535078123,0.8431772085336539,0.6568334640522876,0.0,0.29245665669441223,47.462824519676495
video172,0.8628975369036198,0.918841552734375,0.757408253156335,0.0,0.32817012071609497,57.03680843777127
video173,0.7852152543142438,0.91956787109375,0.6591030718954248,0.0,0.31367745995521545,51.42846025066611
video174,0.7393997410933176,0.8939208984375,0.7887100117311882,0.0,0.3546674847602844,47.63927049274686
video175,0.8482379779219628,0.89830322265625,0.7593341696766426,1.0,0.38199737668037415,60.563209863356605
video176,0.8970343429595232,0.9416748046875,0.4345900392156863,0.0,0.3612232506275177,50.707359926200205
video177,0.7639866812154651,0.889849853515625,0.654442954248366,0.0,0.3458115756511688,51.48484703346535
video178,0.8267549313604832,0.902935791015625,0.5792030588235295,0.0,0.37046393752098083,49.12534935091749
video179,0.0,0.0,0.0,0.0,0.0,0.0
video18,0.7893762219697237,0.902606201171875,0.7452954379084968,0.0,0.3780090808868408,47.361816665272656
video180,0.8955811854451895,0.923333740234375,0.7714473074583369,0.0,0.3851020336151123,57.54932003256715
video181,0.8171159807592631,0.92791748046875,0.7954814509803921,0.0,0.39686885476112366,49.76919541535554
video182,0.8923676554113626,0.9364532470703125,0.771054431372549,0.0,0.4272628724575043,54.02504391140408
video183,0.8515502229332924,0.91966552734375,0.7794480261437909,0.0,0.33122625946998596,47.30307849836938
video184,0.8186984777450561,0.89945068359375,0.7114153725490197,0.0,0.3689037263393402,49.412143189230086
video185,0.8249889371916652,0.905377197265625,0.7084901045751634,0.0,0.3518920838832855,48.716365154878595
video186,0.9067113302648068,0.9428680419921875,0.7176746013071895,0.0,0.36791232228279114,51.576427271336684
video187,0.8694049820303917,0.9357757568359375,0.7887824183006537,0.0,0.3927873969078064,53.81812818550769
video188,0.7455196356400847,0.9077911376953125,0.7348487973856208,0.0,0.301908940076828,49.01116877426336
video189,0.7590413229539991,0.90355224609375,0.7958270718954248,0.0,0.30302876234054565,45.61137604419096
video19,0.6051711241404215,0.8558318309294872,0.8067290765879002,0.0,0.30309638381004333,36.68291123305695
video190,0.0,0.0,0.0,0.0,0.0,0.0
video191,0.0,0.0,0.0,0.0,0.0,0.0
video192,0.0,0.0,0.0,0.0,0.0,0.0
video193,0.8257734272629023,0.9214447021484375,0.7453777570926416,1.0,0.32357847690582275,57.68112634729456
video194,0.0,0.0,0.0,0.0,0.0,0.0
video195,0.8101714307442307,0.922149658203125,0.7571998658618377,0.0,0.3084903657436371,55.6475183463391
video196,0.8980401821434498,0.938824462890625,0.7426461818876101,1.0,0.38190197944641113,59.80142664026331
video197,0.7795319493860007,0.8740936279296875,0.6849068366013071,0.0,0.3233333230018616,50.63294549635899
video198,0.9098806824535132,0.927947998046875,0.6658708333333333,0.0,0.3057193458080292,52.73685408227237
video199,0.8517147712409496,0.920806884765625,0.49152546405228764,0.0,0.3217206299304962,50.68002517135055
video2,0.7452760951593518,0.8809051513671875,0.7149121176470589,0.0,0.3517702519893646,48.6384538250205
video20,0.8449327122420073,0.90657958984375,0.9155120130718954,0.0,0.35105636715888977,32.12117593082381
video200,0.8319063808768987,0.884490966796875,0.541316954248366,0.0,0.34920114278793335,51.559784594877264
video201,0.0,0.0,0.8010054650083194,1.0,0.0,0.0
video202,0.7300831999629736,0.8820343017578125,0.738015816993464,0.0,0.2844875454902649,52.918466120590395
video203,0.7369684863835573,0.8687347412109375,0.717391071895425,0.0,0.2617759108543396,53.645493260136355
video204,0.7881611950695515,0.902197265625,0.7283882875816994,0.0,0.265997052192688,51.633191803355274
video205,0.925638685002923,0.9378814697265625,0.9812388149923927,1.0,0.3601769506931305,50.76513332790799
video206,0.7818969240412116,0.9147857666015625,0.7469361176470588,0.0,0.2848277986049652,50.92521667480469
video207,0.0,0.0,0.0,0.0,0.0,0.0
video208,0.8469937328249216,0.8801513671875,0.7065584011382331,1.0,0.2908598780632019,55.746868698685255
video209,0.7294586231932044,0.91143798828125,0.7294849803921568,0.0,0.2608170807361603,52.34042414912471
video21,0.7685639740899205,0.908935546875,0.8210421864058123,1.0,0.303010493516922,50.31829278263045
video210,0.0,0.0,0.0,0.0,0.0,0.0
video211,0.7826395407319069,0.8936431884765625,0.7132472287581699,0.0,0.28780436515808105,53.41580063619731
video212,0.0,0.0,0.8793136437908496,1.0,0.0,0.0
video213,0.8954080328345299,0.9354644775390625,0.8683950090452848,1.0,0.35800811648368835,50.27824905772268
video214,0.7991690121591091,0.926739501953125,0.7556575294117647,0.0,0.3122401833534241,43.28326302987558
